,name,gender,race,count
14,Adrin,male,latinx,1139
29,Jesus,male,latinx,756
66,Jose,male,latinx,266
71,Natalia,female,latinx,243
79,Juan,male,latinx,214
99,Gabriel,male,latinx,133
119,Carlos,male,latinx,88
141,Mario,male,latinx,62
163,Lamar,male,latinx,45
164,Maya,female,latinx,45
166,Manuel,male,latinx,42
167,Manuel,male,latinx,42
208,Xavier,male,latinx,24
213,Adrian,male,latinx,22
214,Anita,female,latinx,21
225,Ramon,male,latinx,18
227,Julian,male,latinx,18
233,Jorge,male,latinx,15
252,Miguel,male,latinx,10
261,Elena,female,latinx,9
265,Javier,male,latinx,7
275,Ramirez,male,latinx,6
278,Geraldo,male,latinx,6
280,Nina,female,latinx,5
356,Silas,male,latinx,0
