name,gender,race
Abigail,female,white
Amy,female,white
Anita,female,latinx
Bai,female,asian
Beyonce,female,black
Carly,female,white
Claire,female,white
Craig,female,white
Diamond,female,black
Ebony,female,black
Emily,female,white
Heather,female,white
Jenna,female,white
Katherine,female,white
Katie,female,white
Kia,female,black
Laquisha,female,black
Maya,female,latinx
Molly,female,white
Nina,female,latinx
Precious,female,black
Raven,female,black
Shaniqua,female,black
Tanisha,female,black
Sally,female,none
Lea,female,none
Priya,female,none
Becky,female,none
Sharon,female,none
Jenny,female,none
Ellen,female,none
Anna,female,none
Maggie,female,none
Kassandra,female,none
Shelly,female,none
Janice,female,none
Tina,female,none
Joanne,female,none
Lisa,female,none
Monica,female,none
Ruby,female,none
Tricia,female,none
Tasha,female,none
Judy,female,none
Tuppence,female,none
Jen,female,none
Wendy,female,none
Susan,female,none
Vrenna,female,none
Jacqui,female,none
Carrie,female,none
Joan,female,none
Erica,female,none
Candace,female,none
Cynthia,female,none
Dawn,female,none
Greta,female,none
Shevon,female,none
Candice,female,none
Lily,female,none
Paula,female,none
Beth,female,none
Lara,female,none
Julie,female,none
Shiloh,female,none
Megan,female,none
Tessa,female,none
Jennifer,female,none
Roberta,female,none
Jane,female,none
Olga,female,none
Carla,female,none
Cathy,female,none
Monique,female,none
Marianne,female,none
Candy,female,none
Juliette,female,none
Fabioloa,female,none
Kathy,female,none
Yolanda,female,none
Sue,female,none
Benny,female,none
Melissa,female,none
Shannon,female,none
Anne,female,none
Sara,female,none
Kassidy,female,none
Susie,female,none
Meghan,female,none
Veronica,female,none
Phoebe,female,none
Barbara,female,none
Nia,female,none
Naomi,female,none
Brittany,female,none
Grace,female,none
Cindy,female,none
Liz,female,none
Camille,female,none
Janet,female,none
